,city,latitude,longitude,max_temp,humidity,cloud_cover,wind_speed,country,date
48,Nome,71.72000000008273,-165.9300000000128,44.6,49.0,1.0,5.75,US,2021-04-24 01:47:37
49,Isangel,-20.399999999964393,174.12999999967792,86.0,70.0,75.0,5.75,VU,2021-04-24 01:44:13
50,Kudahuvadhoo,1.8700000000469998,65.37999999977683,83.28,65.0,36.0,9.62,MV,2021-04-24 01:48:39
51,Nizwa,22.360000000057482,56.41999999978498,75.7,26.0,0.0,1.1,OM,2021-04-24 01:48:39
52,Ancud,-39.39999999997411,-88.06000000008362,50.0,93.0,0.0,3.44,CL,2021-04-24 01:41:46
53,Codrington,18.930000000055728,-61.02000000010821,60.66,70.0,90.0,13.33,AU,2021-04-24 01:40:47
54,Nizhneangarsk,55.89000000007462,109.40999999973678,32.04,74.0,100.0,3.31,RU,2021-04-24 01:48:40
55,Kavieng,15.090000000053763,151.97999999969807,80.47,79.0,95.0,4.23,PG,2021-04-24 01:48:40
56,Lere,10.380000000051353,8.329999999828715,75.78,64.0,81.0,4.7,NG,2021-04-24 01:48:41
57,Busselton,-73.51999999999157,81.18999999976245,71.6,48.0,31.0,5.35,AU,2021-04-24 01:47:31
58,Hithadhoo,-1.1199999999545298,67.07999999977528,82.45,70.0,17.0,5.1,MV,2021-04-24 01:48:41
59,Taltal,-25.369999999966936,-74.06000000009635,62.02,82.0,2.0,2.98,CL,2021-04-24 01:48:41
60,Tuktoyaktuk,84.01000000008901,-129.9600000000455,19.4,68.0,75.0,11.5,CA,2021-04-24 01:48:42
61,Mahebourg,-42.38999999997564,76.80999999976643,78.8,89.0,40.0,11.5,MU,2021-04-24 01:48:42
62,Port alfred,-71.78999999999068,36.86999999980276,64.92,73.0,0.0,15.73,ZA,2021-04-24 01:39:12
63,Selizharovo,56.86000000007513,33.77999999980557,31.59,93.0,100.0,3.8,RU,2021-04-24 01:48:43
64,Ribeira grande,43.06000000006807,-38.68000000012853,58.64,78.0,99.0,28.74,PT,2021-04-24 01:39:05
65,Brae,62.88000000007821,-1.8200000001620538,44.6,87.0,75.0,1.14,GB,2021-04-24 01:48:43
66,Harper,-4.059999999956034,-6.700000000157615,80.62,83.0,84.0,7.9,LR,2021-04-24 01:48:43
67,Bredasdorp,-74.64999999999215,19.249999999818783,44.6,87.0,94.0,1.14,ZA,2021-04-24 01:48:44
68,Chuy,-53.6399999999814,-33.540000000133205,65.28,88.0,3.0,9.73,UY,2021-04-24 01:44:01
69,San juan del sur,10.53000000005143,-86.52000000008502,82.92,64.0,35.0,18.23,NI,2021-04-24 01:48:44
70,Torbay,40.84000000006694,-50.28000000011798,39.0,100.0,90.0,18.41,CA,2021-04-24 01:48:45
71,Padang,-5.249999999956643,95.3099999997496,82.4,74.0,20.0,2.3,ID,2021-04-24 01:48:45
72,Kununurra,-15.449999999961861,126.02999999972167,86.0,23.0,14.0,14.97,AU,2021-04-24 01:48:45
73,Anadyr,64.60000000007909,178.5399999996739,24.8,80.0,0.0,4.47,RU,2021-04-24 01:39:12
